"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-06 23:01:04.225 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 23:01:03_button_6504"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 23:01:03_button_6504","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 23:01:04.223 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 23:01:03_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 23:01:03_button_gameOver","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:58:36.994 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:58:36_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:58:36_button_gameResumed","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:58:36.258 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:58:35_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:58:35_button_gameStarted","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:58:33.269 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:58:32_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:58:32_button_gameOver","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:58:33.266 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:58:32_button_1330"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:58:32_button_1330","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:57:27.246 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:57:26_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:57:26_button_gameResumed","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:57:26.481 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:57:25_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:57:25_button_gameStarted","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:57:22.477 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:57:16_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:57:16_button_gameOver","['json']","['Unity3D']","91.177.147.87"
"2018-12-06 22:57:17.699 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/06 22:57:16_button_4454"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/06 22:57:16_button_4454","['json']","['Unity3D']","91.177.147.87"
