"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-19 15:10:33.060 +01:00","{""LEVEL"":""Log"",""Message"":""b346593b914bf5cdb299adde743133b3_2018\/12\/19 15:10:33_button_7904"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","b346593b914bf5cdb299adde743133b3_2018/12/19 15:10:33_button_7904","['json']","['Unity3D']","185.194.187.132"
"2018-12-19 15:07:27.289 +01:00","{""LEVEL"":""Log"",""Message"":""b346593b914bf5cdb299adde743133b3_2018\/12\/19 15:07:27_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","b346593b914bf5cdb299adde743133b3_2018/12/19 15:07:27_button_gameResumed","['json']","['Unity3D']","185.194.187.132"
"2018-12-19 15:07:26.560 +01:00","{""LEVEL"":""Log"",""Message"":""b346593b914bf5cdb299adde743133b3_2018\/12\/19 15:07:26_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","b346593b914bf5cdb299adde743133b3_2018/12/19 15:07:26_button_gameStarted","['json']","['Unity3D']","185.194.187.132"
"2018-12-19 15:07:25.504 +01:00","{""LEVEL"":""Log"",""Message"":""b346593b914bf5cdb299adde743133b3_2018\/12\/19 15:07:25_button_gamePaused"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","b346593b914bf5cdb299adde743133b3_2018/12/19 15:07:25_button_gamePaused","['json']","['Unity3D']","185.194.187.132"
"2018-12-19 15:07:15.621 +01:00","{""LEVEL"":""Log"",""Message"":""b346593b914bf5cdb299adde743133b3_2018\/12\/19 15:07:15_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","b346593b914bf5cdb299adde743133b3_2018/12/19 15:07:15_button_gameResumed","['json']","['Unity3D']","185.194.187.172"
"2018-12-19 15:07:14.813 +01:00","{""LEVEL"":""Log"",""Message"":""b346593b914bf5cdb299adde743133b3_2018\/12\/19 15:07:14_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","b346593b914bf5cdb299adde743133b3_2018/12/19 15:07:14_button_gameStarted","['json']","['Unity3D']","185.194.187.172"
"2018-12-19 14:25:38.831 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/19 14:25:37_button_9434"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/19 14:25:37_button_9434","['json']","['Unity3D']","94.109.207.47"
"2018-12-19 14:25:38.817 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/19 14:25:37_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/19 14:25:37_button_gameOver","['json']","['Unity3D']","94.109.207.47"
"2018-12-19 14:22:30.132 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/19 14:22:28_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/19 14:22:28_button_gameResumed","['json']","['Unity3D']","94.109.207.47"
"2018-12-19 14:22:29.523 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/19 14:22:27_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/19 14:22:27_button_gameStarted","['json']","['Unity3D']","94.109.207.47"
"2018-12-19 14:17:47.219 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:46_button_57"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:46_button_57","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:47.219 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:46_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:46_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:39.273 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:38_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:38_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:38.421 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:38_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:38_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:36.836 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:36_button_2"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:36_button_2","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:36.836 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:36_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:36_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:33.911 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:33_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:33_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:33.054 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:32_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:32_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
