"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-10 23:24:11.477 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/10 23:24:09_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/10 23:24:09_button_gameOver","['json']","['Unity3D']",""
"2018-12-10 23:24:10.456 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/10 23:24:09_button_7491"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/10 23:24:09_button_7491","['json']","['Unity3D']","91.177.147.87"
"2018-12-10 23:21:39.719 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/10 23:21:39_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/10 23:21:39_button_gameResumed","['json']","['Unity3D']","91.177.147.87"
"2018-12-10 23:21:38.262 +01:00","{""LEVEL"":""Log"",""Message"":""3524261a268a0a71dadf7712c5d711b3_2018\/12\/10 23:21:37_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""HMD Global TA-1012""}","application/x-www-form-urlencoded","HMD Global TA-1012","Log","3524261a268a0a71dadf7712c5d711b3_2018/12/10 23:21:37_button_gameStarted","['json']","['Unity3D']","91.177.147.87"
"2018-12-10 23:12:36.775 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:12:36_release_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:12:36_release_gameOver","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:12:36.768 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:12:36_release_294"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:12:36_release_294","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:11:58.247 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:11:58_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:11:58_release_gameResumed","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:11:57.373 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:11:57_release_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:11:57_release_gameStarted","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:11:56.434 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:11:56_release_10"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:11:56_release_10","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:11:56.313 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:11:56_release_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:11:56_release_gameOver","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:11:46.204 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:11:46_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:11:46_release_gameResumed","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 23:11:45.016 +01:00","{""LEVEL"":""Log"",""Message"":""4881883d437543a9f385da879ed42db5_2018\/12\/10 23:11:44_release_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J510FN""}","application/x-www-form-urlencoded","samsung SM-J510FN","Log","4881883d437543a9f385da879ed42db5_2018/12/10 23:11:44_release_gameStarted","['json']","['Unity3D']","84.193.214.39"
"2018-12-10 20:50:13.159 +01:00","{""LEVEL"":""Log"",""Message"":""03224c5a0bd15bfe6ae5f5fc70948bcb_2018\/12\/10 20:50:10_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-G930F""}","application/x-www-form-urlencoded","samsung SM-G930F","Log","03224c5a0bd15bfe6ae5f5fc70948bcb_2018/12/10 20:50:10_button_gameOver","['json']","['Unity3D']",""
